anio,departamento,tipo_vehiculo,cantidad_ev,kwh_promedio,potencia_carga,consumo_wh_km,anio_base,horizonte_anios,cantidad_ev_pred,cantidad_ev_modelada,fuente_cantidad_ev,simultaneidad,consumo_energetico,demanda_futura,consumo_energetico_kwh,demanda_futura_kw
2010,ANTIOQUIA,MOTOCICLETA,12.0,3.4666666666666663,4.091666666666667,35.0,,,,12.0,historico,0.3,41.599999999999994,14.73,41.599999999999994,14.73
2010,BOGOTA D.C.,AUTOMOVIL,3.0,62.46666666666667,172.63333333333333,159.0,,,,3.0,historico,0.3,187.4,155.36999999999998,187.4,155.36999999999998
2010,BOGOTA D.C.,CAMIONETA,2.0,691.45,599.25,1041.5,,,,2.0,historico,0.3,1382.9,359.55,1382.9,359.55
2010,BOGOTA D.C.,MOTOCARRO,1.0,2.7,4.7,25.0,,,,1.0,historico,0.3,2.7,1.41,2.7,1.41
2010,BOGOTA D.C.,MOTOCICLETA,4.0,3.35,3.875,30.5,,,,4.0,historico,0.3,13.4,4.6499999999999995,13.4,4.6499999999999995
2010,BOLIVAR,AUTOMOVIL,2.0,52.45,175.89999999999998,164.0,,,,2.0,historico,0.3,104.9,105.53999999999998,104.9,105.53999999999998
2010,BOLIVAR,MOTOCICLETA,3.0,3.6333333333333333,3.3333333333333335,31.666666666666668,,,,3.0,historico,0.3,10.9,3.0,10.9,3.0
2010,CUNDINAMARCA,CAMIONETA,13.0,692.4769230769232,551.7461538461538,1043.3076923076924,,,,13.0,historico,0.3,9002.2,2151.8099999999995,9002.2,2151.8099999999995
2010,CUNDINAMARCA,MICROBUS,2.0,381.4,231.75,1084.0,,,,2.0,historico,0.3,762.8,139.04999999999998,762.8,139.04999999999998
2010,CUNDINAMARCA,TRACTOCAMION,1.0,836.6,528.6,1047.0,,,,1.0,historico,0.3,836.6,158.58,836.6,158.58
2010,VALLE DEL CAUCA,CAMIONETA,1.0,815.5,620.3,956.0,,,,1.0,historico,0.3,815.5,186.08999999999997,815.5,186.08999999999997
2011,ANTIOQUIA,AUTOMOVIL,2.0,60.9,203.45,145.5,,,,2.0,historico,0.3,121.8,122.07,121.8,122.07
2011,ANTIOQUIA,CAMIONETA,2.0,704.75,687.4,1044.0,,,,2.0,historico,0.3,1409.5,412.44,1409.5,412.44
2011,ANTIOQUIA,MOTOCICLETA,41.0,3.526829268292683,3.517073170731707,30.75609756097561,,,,41.0,historico,0.3,144.6,43.26,144.6,43.26
2011,BOGOTA D.C.,AUTOMOVIL,3.0,63.56666666666666,153.20000000000002,152.66666666666666,,,,3.0,historico,0.3,190.7,137.88,190.7,137.88
2011,BOGOTA D.C.,CAMIONETA,2.0,742.7,685.55,881.5,,,,2.0,historico,0.3,1485.4,411.33,1485.4,411.33
2011,BOGOTA D.C.,MOTOCICLETA,27.0,3.2111111111111112,3.4296296296296296,31.074074074074073,,,,27.0,historico,0.3,86.7,27.779999999999998,86.7,27.779999999999998
2011,CUNDINAMARCA,CAMIONETA,17.0,705.9,608.5235294117647,1115.3529411764705,,,,17.0,historico,0.3,12000.3,3103.47,12000.3,3103.47
2011,CUNDINAMARCA,MOTOCICLETA,1.0,4.0,3.0,32.0,,,,1.0,historico,0.3,4.0,0.8999999999999999,4.0,0.8999999999999999
2011,META,MOTOCICLETA,2.0,2.8,3.1500000000000004,30.5,,,,2.0,historico,0.3,5.6,1.8900000000000001,5.6,1.8900000000000001
2011,RISARALDA,MOTOCICLETA,2.0,4.2,4.699999999999999,26.0,,,,2.0,historico,0.3,8.4,2.8199999999999994,8.4,2.8199999999999994
2011,SANTANDER,MICROBUS,3.0,314.09999999999997,234.76666666666665,1154.0,,,,3.0,historico,0.3,942.3,211.29,942.3,211.29
2011,SANTANDER,MOTOCICLETA,2.0,3.45,4.8,32.0,,,,2.0,historico,0.3,6.9,2.88,6.9,2.88
2011,VALLE DEL CAUCA,AUTOMOVIL,2.0,62.15,217.8,151.0,,,,2.0,historico,0.3,124.3,130.68,124.3,130.68
