departamento,anio_min,anio_max,cantidad_ev,cantidad_ev_modelada,consumo_energetico,demanda_futura,total_infraestructura,latitud_infra_promedio,longitud_infra_promedio,total_generacion_hidraulica,total_generacion_solar,total_generacion_termica,total_activos_hidraulicos,capacidad_hidraulica_total,latitud_hidraulica_promedio,longitud_hidraulica_promedio,latitud,longitud,criterio_demanda,criterio_crecimiento_ev,criterio_soporte_generacion,criterio_soporte_hidraulico,criterio_cobertura_hidraulica,indice_prioridad_territorial,ranking_prioridad,categoria_prioridad,anio_escenario
ANTIOQUIA,2052,2052,0.0,552.7133333333334,162282.3378119237,48868.39656503179,8.0,6.54715,-75.23105,4.0,1.0,3.0,72.0,3130.44,0.0,0.0,6.54715,-75.23105,0.8876491194177979,0.7021067833326254,0.8888888888888888,1.0,1.0,0.8545805716557958,1,ALTA,2052
BOGOTA D.C.,2052,2052,0.0,786.49,190724.34723481984,55053.51818663192,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.027777777777777776,0.7013888888888888,2,ALTA,2052
CUNDINAMARCA,2052,2052,0.0,325.78333333333336,103184.23954938272,26403.865027037038,7.0,4.684228571428571,-74.05361428571429,3.0,1.0,3.0,17.0,836.25,0.0,0.0,4.684228571428571,-74.05361428571429,0.479587636625579,0.41293802828866333,0.7777777777777778,0.2671349714417143,0.2361111111111111,0.4453700421864211,3,MEDIA,2052
SANTANDER,2052,2052,0.0,77.02666666666667,15269.831309941519,4405.957924561403,8.0,6.9855125000000005,-73.255675,3.0,1.0,4.0,6.0,837.0,0.0,0.0,6.9855125000000005,-73.255675,0.08000224685773355,0.09595633521641253,0.8888888888888888,0.2673745543757427,0.08333333333333333,0.19394953801993417,4,BAJA,2052
VALLE DEL CAUCA,2052,2052,0.0,102.15333333333334,13733.740738095239,4100.109278571429,8.0,3.5326875,-76.5437125,3.0,1.0,4.0,12.0,569.0,0.0,0.0,3.5326875,-76.5437125,0.07444659786582931,0.12797434481586883,0.8888888888888888,0.18176358594957898,0.16666666666666666,0.19265770270575144,5,BAJA,2052
CALDAS,2052,2052,0.0,20.76,3484.6311,964.82961,8.0,5.1759125,-75.40235,3.0,1.0,4.0,13.0,582.0,0.0,0.0,5.1759125,-75.40235,0.017495182326106216,0.02425774115448329,0.8888888888888888,0.185916356806072,0.18055555555555555,0.14007951546436495,6,BAJA,2052
BOLIVAR,2052,2052,0.0,25.133333333333333,4089.3492037037036,1513.8807277777778,9.0,10.391,-75.4794,3.0,2.0,4.0,0.0,0.0,0.0,0.0,10.391,-75.4794,0.027468531330521927,0.02983052287304082,1.0,0.0,0.0,0.11993656939412102,7,BAJA,2052
META,2052,2052,0.0,28.12333333333333,2626.992142857143,1018.0033999999999,8.0,4.142,-73.6266,3.0,1.0,4.0,0.0,0.0,0.0,0.0,4.142,-73.6266,0.01846106828532969,0.03364057256934121,0.8888888888888888,0.0,0.0,0.10636548797382313,8,BAJA,2052
TOLIMA,2052,2052,0.0,9.676666666666666,3103.227333333333,986.2170000000001,7.0,4.225728571428571,-75.27464285714287,3.0,1.0,3.0,11.0,187.0,0.0,0.0,4.225728571428571,-75.27464285714287,0.0178836778556789,0.010134647241218195,0.7777777777777778,0.05973601155109186,0.1527777777777778,0.10457093371396747,9,BAJA,2052
ATLANTICO,2052,2052,0.0,22.44666666666667,2486.892444444444,660.3234333333334,8.0,10.9639,-74.7964,3.0,1.0,4.0,0.0,0.0,0.0,0.0,10.9639,-74.7964,0.011963918887123287,0.026406999957524532,0.8888888888888888,0.0,0.0,0.10159655643099556,10,BAJA,2052
RISARALDA,2052,2052,0.0,14.783333333333333,4485.1376666666665,1187.4823999999999,7.0,4.733442857142857,-75.68521428571428,3.0,1.0,3.0,3.0,0.0,0.0,0.0,4.733442857142857,-75.68521428571428,0.02153960352765933,0.016641889308924098,0.7777777777777778,0.0,0.041666666666666664,0.09346951931485208,11,BAJA,2052
HUILA,2052,2052,0.0,17.51,1340.8511666666666,431.33119999999997,0.0,0.0,0.0,0.0,0.0,0.0,5.0,940.0,0.0,0.0,,,0.007804343597344387,0.02011638278893939,0.0,0.3002772773156489,0.06944444444444445,0.05767046609518913,12,BAJA,2052
