feature,importance
num__anio,0.229571210596624
num__consumo_wh_km,0.12515442236427643
num__potencia_carga,0.1241221957147952
cat__departamento_BOGOTA D.C.,0.12167405906071573
num__kwh_promedio,0.12017396600369736
cat__tipo_vehiculo_AUTOMOVIL,0.09095303878345448
cat__departamento_ANTIOQUIA,0.08166063914404308
cat__tipo_vehiculo_CUADRICICLO,0.03496325571062187
cat__tipo_vehiculo_BUS,0.021139878846030632
cat__tipo_vehiculo_MOTOCICLETA,0.013311899863892095
cat__tipo_vehiculo_MOTOCARRO,0.010580593997708353
cat__departamento_CUNDINAMARCA,0.008520598618399423
cat__tipo_vehiculo_CAMIONETA,0.006278382489083422
cat__tipo_vehiculo_CAMION,0.0032879999166243114
cat__tipo_vehiculo_TRICIMOTO,0.002998011301220686
cat__departamento_VALLE DEL CAUCA,0.0027856260246648624
cat__departamento_SANTANDER,0.0021502752198522606
cat__tipo_vehiculo_MOTOTRICICLO,0.00027091140211310484
cat__departamento_META,9.097955467075434e-05
cat__departamento_CORDOBA,7.119919485229517e-05
cat__departamento_RISARALDA,4.617585027739151e-05
cat__tipo_vehiculo_CUATRIMOTO,3.504449693988152e-05
cat__departamento_NORTE DE SANTANDER,3.381800929981402e-05
cat__departamento_BOLIVAR,3.123827972425116e-05
cat__departamento_HUILA,2.6482200851369528e-05
cat__departamento_CALDAS,1.9785303589650358e-05
cat__departamento_ATLANTICO,1.2717652605103321e-05
cat__tipo_vehiculo_MICROBUS,9.499721896546496e-06
cat__departamento_CAQUETA,5.897581674823157e-06
cat__departamento_CAUCA,4.992046178441649e-06
cat__departamento_TOLIMA,2.4613982945371843e-06
cat__departamento_CASANARE,2.4489724414226623e-06
"cat__departamento_ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",2.142288348872004e-06
cat__departamento_CHOCO,1.8786304022242434e-06
cat__tipo_vehiculo_TRACTOCAMION,1.473794808395971e-06
cat__departamento_NARINO,1.4280365138502702e-06
cat__departamento_BOYACA,9.671415183231222e-07
cat__departamento_QUINDIO,5.988241235032869e-07
cat__departamento_CESAR,5.69648676672599e-07
cat__departamento_ARAUCA,4.951665398672022e-07
cat__departamento_GUAINIA,3.8009391554355065e-07
cat__departamento_MAGDALENA,2.898620838152725e-07
cat__departamento_AMAZONAS,7.119195543187199e-08
